Annotation 1 ,Annotation 2,Tweets
negative,negative,All-Time High for Stock Market and all the Fake News wants to talk about is the Impeachment Hoax!
neutral,neutral,Read the Transcript!
positive,positive,"Big Rally in Kentucky TONIGHT for a man who has worked really hard &amp; done a GREAT job, Gov @MattBevin. Kentucky is… https://t.co/uhhGSnPle3"
negative,negative,"I dont like him using my name to build his consulting company, or whatever. Please advise his clients and Admi�"
negative,neutral,"Many people say they know me, claiming to be best friends� and really close etc., when I dont know these people"
positive,positive,Stock Market hits RECORD HIGH. Spend your money well!
negative,negative,There is no Whistleblower. There is someone with an agenda against Donald Trump. What he was blowing the whistle
positive,positive,95% Approval Rating in the Republican Party. Thank you!
negative,negative,The Whistleblower gave false information &amp; dealt with corrupt politician Schiff. He must be brought forward to test
neutral,neutral,What I said on the phone call with the Ukrainian President is perfectly stated. There is no reason to call witnes
positive,neutral,"Mark Levin, a great lawyer and scholar, said last night on his @marklevinshow, that all you have to do is read the… https://t.co/HXjDwkEoNI"
positive,neutral,Great! But how do you know it was a mistweet?� May be something with deep meaning!
negative,neutral,"@arabnews: #BREAKING: Dozens of Iraqi demonstrators have stormed the Iranian consulate in #Karbala, lowering the flag and burning part o…"
neutral,neutral,"Louisiana, get out and Vote Early for @EddieRispone as your next Governor. Lower Taxes and car insurance. Will prot… https://t.co/h7ckQazwxB"
negative,negative,"RT @JudgeJeanine: The democrats are tearing this country apart. They are wusses, wimps and weasels. They don’t have the chutzpah to face Do…"
neutral,neutral,"@JudgeJeanine: Check out my interview with @SteveScalise on the Democrats' impeachment witch-hunt and their ""soviet-style"" process to th…"
positive,positive,"Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate, 13th District. He is stro… https://t.co/DH0QugQd0a"
neutral,neutral,"@marklevinshow Mark Levin: “We ought to talk about the substance of this phone call. We have the call, I don’t know… https://t.co/prPZPKcVHt"
negative,positive,e RT @marklevinshow: Morrison testimony backfires on Schiff and the radical Democrats https://t.co/I1EaUfTKSf
negative,negative,RT @marklevinshow: The walking dead: the House Democrats who lied to voters in Trump districts in 2018 to get elected.
negative,negative,"RT @marklevinshow: Elizabeth Warren would destroy jobs and the middle class.  If elected she must be impeached. 
https://t.co/kExZZ8HYuY"
negative,positive,"@marklevinshow: Under Trump, black unemployment is lowest in history.  No doubt, Democrats will shout racism. https://t.co/5UXA3KLe5P"
neutral,neutral,RT @marklevinshow: Rats nest https://t.co/OejXeOeEkO
negative,positive,RT @marklevinshow: Obama NSC holdovers — the so-called whistleblower and the two Schiff staffers — must be part of the 2016-related crimina…
negative,negative,"RT @SenToddYoung: #ICYMI: Student debt is one of the biggest issues facing Americans from all states across the United States. Yesterday, I…"
positive,negative,Good point! https://t.co/L2ZyCY8QlI
neutral,neutral,We wont Steve! https://t.co/iKr859gKEL
negative,negative,"RT @Jim_Jordan: ""Rep. Jim Jordan on House impeachment inquiry: Democrats are making up the rules as they go"""
negative,negative,RT @SteveScalise: Dems are using impeachment as a political tactic to damage @realDonaldTrump at the ballot box. That's a disgusting abuse…
neutral,negative,Dont miss this show! https://t.co/EhY8CNAUqP
negative,negative,False stories are being reported that a few Republican Senators are saying that President Trump may have done a qui… https://t.co/WWFezvm0qL
negative,negative,should give their own transcripts of the interviews to contrast with Schiff’s manipulated propaganda. House Rep… https://t.co/6i99yaufmB
negative,negative,"If Shifty Adam Schiff, who is a corrupt politician who fraudulently made up what I said on the “call,” is allowed t… https://t.co/3nt1frcnAB"
positive,positive,"Virginia has the best employment and Economic numbers in the history of the State. If the Democrats get in, those… https://t.co/e8svtBNWdV"
